Mass (kg),r_cg_x (mm),r_cg_y (mm),r_cg_z (mm),Ixx (kg mm2),Iyx (kg mm2),Iyy (kg mm2),Izx (kg mm2),Izy (kg mm2),Izz (kg mm2)
0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000
733.44,-11777.021,1430,0,1640424788.262,12351958138.391,101812659974.922,0.000,0.000,103312470569.442
1613.944,-11488.977,1430,0,3625832373.994,26515872735.481,213348863425.637,-0.001,0.000,216649217901.557
2494.449,-11203.083,1430,0,5611239959.725,39962088023.202,313879630488.699,-0.001,0.000,318980528846.019
3374.953,-10917.655,1430,0,7596647545.456,52690604001.554,403977113061.090,-0.002,0.000,410878555299.809
4255.458,-10632.404,1430,0,9582055131.188,64701420670.536,484213463039.787,-0.002,0.000,492915449159.906
5135.963,-10347.239,1430,0,11567462716.919,75994538030.149,555160832321.771,-0.002,0.000,565663362323.290
6016.467,-10062.123,1430,0,13552870302.650,86569956080.394,617391372804.022,-0.003,0.000,629694446686.940
6896.972,-9777.036,1430,0,15538277888.382,96427674821.269,671477236383.518,-0.003,0.000,685580854147.836
7777.476,-9491.969,1430,0,17523685474.113,105567694252.775,717990574957.240,-0.003,0.000,733894736602.958
8517.915,-9251.788,1430,0,19180048902.643,112692498086.288,751603910331.594,-0.003,0.000,769022194217.234
