Mass (kg),r_cg_x (mm),r_cg_y (mm),r_cg_z (mm),Ixx (kg mm2),Iyx (kg mm2),Iyy (kg mm2),Izx (kg mm2),Izy (kg mm2),Izz (kg mm2)
0,0,0,0,0,0.000,0.000,0.000,0.000,0.000
271.831,-16092.68,-1430,0,603974560.8,-6256000000.000,70423565987.401,0.000,0.000,70979433787.772
642.25,-15908.009,-1430,0,1439214276.113,-14610000000.000,162616018682.236,0.000,0.000,163929356016.711
1012.669,-15727.595,-1430,0,2274453991.460,-22780000000.000,250676150321.577,0.000,0.000,252746957190.155
1383.088,-15548.018,-1430,0,3109693706.807,-30750000000.000,334698752580.607,0.001,0.000,337527028983.289
1753.507,-15368.747,-1430,0,3944933422.154,-38540000000.000,414778617134.511,0.001,0.000,418364363071.297
2123.926,-15189.622,-1430,0,4780173137.500,-46130000000.000,491010535658.474,0.001,0.000,495353751129.363
2494.344,-15010.579,-1430,0,5615412852.847,-53540000000.000,563489299827.679,0.001,0.000,568589984832.672
2864.763,-14831.585,-1430,0,6450652568.194,-60760000000.000,632309701317.312,0.001,0.000,638167855856.408
3235.182,-14652.623,-1430,0,7285892283.540,-67790000000.000,697566531802.555,0.001,0.000,704182155875.755
3605.231,-14473.863,-1430,0,8120296759.172,-74620000000.000,759294496012.868,0.002,0.000,766666832150.637
