Mass (kg),r_cg_x (mm),r_cg_y (mm),r_cg_z (mm),Ixx (kg mm2),Iyx (kg mm2),Iyy (kg mm2),Izx (kg mm2),Izy (kg mm2),Izz (kg mm2)
0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000
271.831,-16105.608,0,0,48106760.395,0.000,70536716647.731,0.000,0.000,70536716647.731
642.25,-15920.937,0,0,125876941.639,0.000,162880290801.708,0.000,0.000,162880290801.708
1012.669,-15740.523,0,0,203647122.882,0.000,251088118025.107,0.000,0.000,251088118025.107
1383.088,-15560.946,0,0,281417304.125,0.000,335254989993.113,0.000,0.000,335254989993.113
1753.507,-15381.675,0,0,359187485.368,-0.001,415475698380.909,-0.001,0.000,415475698380.909
2123.926,-15202.55,0,0,436957666.611,-0.001,491845034863.681,-0.001,0.000,491845034863.681
2494.344,-15023.507,0,0,514727847.854,-0.001,564457791116.612,-0.001,0.000,564457791116.612
2864.763,-14844.513,0,0,592498029.097,-0.001,633408758814.888,-0.001,0.000,633408758814.888
3235.182,-14665.551,0,0,670268210.341,-0.001,698792729633.691,-0.001,0.000,698792729633.691
3605.231,-14486.791,0,0,747960621.403,-0.001,760644286299.247,-0.002,0.000,760644286299.247
