Mass (kg),r_cg_x (mm),r_cg_y (mm),r_cg_z (mm),Ixx (kg mm2),Iyx (kg mm2),Iyy (kg mm2),Izx (kg mm2),Izy (kg mm2),Izz (kg mm2)
0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000
733.44,-11777.021,0,0,140614193.742,0.000,101812659974.922,0.000,0.000,101812659974.922
1613.944,-11488.977,0,0,325477898.074,-0.001,213348863425.638,-0.001,0.000,213348863425.638
2494.449,-11203.083,0,0,510341602.405,-0.001,313879630488.700,-0.001,0.000,313879630488.700
3374.953,-10917.655,0,0,695205306.737,-0.002,403977113061.090,-0.002,0.000,403977113061.090
4255.458,-10632.404,0,0,880069011.069,-0.002,484213463039.788,-0.002,0.000,484213463039.788
5135.963,-10347.239,0,0,1064932715.400,-0.002,555160832321.772,-0.002,0.000,555160832321.772
6016.467,-10062.123,0,0,1249796419.732,-0.002,617391372804.023,-0.003,0.000,617391372804.023
6896.972,-9777.036,0,0,1434660124.063,-0.002,671477236383.519,-0.003,0.000,671477236383.519
7777.476,-9491.969,0,0,1619523828.395,-0.003,717990574957.241,-0.003,0.000,717990574957.241
8517.915,-9251.788,0,0,1761765017.003,-0.003,751603910331.595,-0.003,0.000,751603910331.595
