Mass (kg),r_cg_x (mm),r_cg_y (mm),r_cg_z (mm),Ixx (kg mm2),Iyx (kg mm2),Iyy (kg mm2),Izx (kg mm2),Izy (kg mm2),Izz (kg mm2)
0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000
6.836,-2830.176,0,0,156305.491,0.000,54836863.011,0.000,0.000,54836863.011
25.684,-2778.406,0,0,1085496.887,0.000,198850797.912,0.000,0.000,198850797.912
54.055,-2727.733,0,0,3149480.347,0.000,403947898.200,0.000,0.000,403947898.200
89.457,-2678.404,0,0,6347930.828,0.000,645455357.971,0.000,0.000,645455357.971
129.402,-2630.74,0,0,10413013.468,0.000,901979389.861,0.000,0.000,901979389.861
171.399,-2585.178,0,0,14904104.957,0.000,1155263142.978,0.000,0.000,1155263142.978
212.958,-2542.32,0,0,19302514.916,0.000,1390044620.837,0.000,0.000,1390044620.837
251.589,-2503.022,0,0,23106207.277,0.000,1593914599.294,0.000,0.000,1593914599.294
284.803,-2468.544,0,0,25924521.653,0.000,1757174544.482,0.000,0.000,1757174544.482
310.088,-2440.845,0,0,27571821.827,0.000,1872604617.328,0.000,0.000,1872604617.328
