Mass (kg),r_cg_x (mm),r_cg_y (mm),r_cg_z (mm),Ixx (kg mm2),Iyx (kg mm2),Iyy (kg mm2),Izx (kg mm2),Izy (kg mm2),Izz (kg mm2)
0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000
15.627,-4009.277,0,0,482682.420,0.000,251446290.812,0.000,0.000,251446290.812
58.886,-3950.428,0,0,3374312.364,0.000,920762859.235,0.000,0.000,920762859.235
124.341,-3892.752,0,0,9864102.881,0.000,1889660919.562,0.000,0.000,1889660919.562
206.558,-3836.498,0,0,20052909.727,0.000,3051858127.150,0.000,0.000,3051858127.150
300.101,-3781.985,0,0,33219719.720,0.000,4312678845.886,0.000,0.000,4312678845.886
399.536,-3729.642,0,0,48088139.087,0.000,5588654415.670,0.000,0.000,5588654415.670
499.428,-3680.046,0,0,63092881.816,0.001,6807123419.881,0.000,0.000,6807123419.881
594.342,-3634.001,0,0,76646258.008,0.001,7905831952.857,0.000,0.000,7905831952.857
678.843,-3592.659,0,0,87404662.225,0.001,8832533887.364,0.000,0.000,8832533887.364
747.438,-3557.76,0,0,94529840.300,0.001,9543998173.386,0.000,0.000,9543998173.386
